Option,Image_Path,Image_Path_2
Sleeveless,/images/dresses/boundless/options/torso.png,/images/dresses/boundless/options/torso-2.png
Short,/images/dresses/boundless/options/sleeves-short.png,/images/dresses/boundless/options/sleeves-short-2.png
3/4,/images/dresses/boundless/options/sleeves-three-quarter.png,/images/dresses/boundless/options/sleeves-three-quarter-2.png
Long,/images/dresses/boundless/options/sleeves-long.png,/images/dresses/boundless/options/sleeves-long-2.png
