Option,Style,Image_Path
Regular,knee,/images/skirts/pencil/options/skirt-knee-thin.png
Regular,midi,/images/skirts/pencil/options/skirt-midi-thin.png
Comfy,knee,/images/skirts/pencil/options/skirt-knee.png
Comfy,midi,/images/skirts/pencil/options/skirt-midi.png
