Option,Image_Path,Image_Path_2
Pockets,/images/galleries/boundless/options/pockets.png,/images/galleries/boundless/options/pockets-2.png
No Pockets,/images/galleries/boundless/options/no-pockets.png,/images/galleries/boundless/options/no-pockets-2.png
